"FSC","SSC","CD16 AF488","FL2-A","CD14-PE","CD42a-PerCP","CCR2-APC"
38,464,1281.4,808,2879.04,5119.74,9910.46
856,836,387.409,0,1.05139,5.60178,7.20611
827,759,367.069,0,3.15022,61.8457,12.3621
876,947,427.729,0,2.53867,6.52774,11.6081
887,1023,646.951,0,7.33769,3.50951,8.39755
516,116,17.401,0,8.32265,5.30823,8.62754
40,474,1328.62,838,3012.11,5213.77,9910.46
696,632,431.654,0,1.00536,2.17902,15.4819
496,101,6.41248,0,9.35597,6.95317,6.07559
457,251,4.72312,0,7.01623,9.96432,13.2876
830,326,14.9363,306,1192.86,5.40553,77.4619
726,1023,94.415,0,29.3243,27.535,26.8019
447,96,45.5669,0,6.02204,4.51589,10.7089
724,569,367.21,0,1.92161,4.35646,12.9357
943,980,550.442,0,2.90648,4.55701,21.2153
722,583,476.68,0,1.00565,2.30049,19.0454
661,657,370.567,0,1.67926,1.00568,11.1027
823,731,338.704,0,6.58995,4.35707,17.7243
39,480,1353.31,845,3040.6,5263.1,9910.46
788,280,18.7084,577,2084.07,1.21489,216.042
626,50,7.34181,0,11.0049,3.57522,1.20406
770,691,570.746,0,3.73981,1.85422,32.3854
832,750,485.452,0,2.42865,3.23866,15.0776
815,617,464.12,0,1.66463,1.35355,5.26402
39,482,1329.46,842,2987.03,5217.07,9910.46
820,708,472.577,0,8.3285,11.3078,10.1509
935,1023,387.749,0,1.10072,1.31765,22.6035
411,60,3.5761,0,2.30146,1.59165,5.21762
805,308,21.8063,616,2240.27,16.0609,204.756
743,575,550.732,0,3.74086,53.607,4.2812
896,851,550.751,0,3.0971,4.64234,13.2974
906,1023,507.942,0,12.5993,9.53349,26.3426
40,660,1341.85,883,3153.54,5507.9,9910.46
806,662,416.78,0,3.57685,3.21089,12.6002
701,618,671.357,0,1.00632,5.17217,21.6155
806,746,597.293,0,2.56449,3.91376,18.3852
39,483,1306.31,826,2961.53,5219.26,9910.46
531,111,6.24812,0,4.20605,5.76226,9.70858
874,666,550.906,0,3.6098,4.68559,25.4179
784,699,715.111,0,1.00649,6.08221,21.6193
958,1023,526.716,0,5.60945,6.71499,20.1191
821,298,29.6204,628,2261.54,7.89538,182.244
